Date,Product,Region,Radio Contribution,TV Contribution,Social Contribution,Search Contribution,Website Contribution,Store Contribution,Radio Spend,TV Spend,Social Spend,Search Spend,Website Spend,Store Spend,Total Sales,Total Investment,Impact
02-01-2022,Product A,Region 1,1337.520169,2427.304517,2264.529471,3002.279872,2016.392759,1843.332391,1476.248317,827.9915334,1011.389278,893.3076577,1199.676847,612.2963608,10716.85446,6020.909994,6870.449185
02-01-2022,Product A,Region 2,4031.548912,2397.58165,2236.141412,1221.389048,3148.357879,4331.238591,1259.942536,722.391706,1016.900201,1516.604873,1428.907513,1975.653849,7302.629883,7920.400678,9445.856814
02-01-2022,Product A,Region 3,4610.610498,1670.871562,4428.251151,1118.230867,2752.230067,4526.502705,1474.821698,922.3339219,1999.219301,1428.257659,727.878995,1296.875709,6665.075646,7849.387284,11257.30957
02-01-2022,Product B,Region 1,3984.129986,3329.105058,4982.885007,1825.338171,3301.920796,4237.644717,1753.759066,1930.198281,1129.534986,1481.044974,1418.308091,1083.713503,13368.305,8796.558899,12864.46484
02-01-2022,Product B,Region 2,3723.220007,1089.738545,4455.202057,3680.470421,1466.493178,4570.317072,1104.678082,1597.934095,1505.590619,814.0182496,1602.371309,1402.902651,8988.542218,8027.495005,10957.94628
02-01-2022,Product B,Region 3,2290.860535,2381.254862,3364.483251,2154.540364,3620.356711,3902.591306,1591.61976,1307.543407,1821.735122,1376.249131,1483.127268,1810.339404,6025.010947,9390.614091,8323.472938
02-01-2022,Product C,Region 1,2929.509976,4299.637273,3472.02732,2566.162912,4018.507998,3754.6881,1538.086326,1206.977147,1710.333752,1757.458922,1091.281721,1812.22827,19414.8011,9116.366138,11924.16744
02-01-2022,Product C,Region 2,2397.500705,4965.53184,2561.974672,1017.976006,4891.94392,1900.051534,1514.496827,829.9626736,767.4761376,1576.918304,679.9982543,1978.189882,16343.88573,7347.042078,10387.9366
02-01-2022,Product C,Region 3,4843.655237,1405.898759,3813.164417,3610.35967,1019.717787,2585.043591,1280.89026,1375.744351,1178.199209,1003.286942,1164.897153,644.4328935,18250.27554,6647.450808,10630.38865
09-01-2022,Product A,Region 1,1641.368168,2395.900802,1917.408164,3138.681618,4554.12879,2641.901909,834.2862633,1260.685621,737.0470417,1087.172408,1264.211693,1599.294435,17215.72193,6782.697462,9506.691989
09-01-2022,Product A,Region 2,2821.698287,2816.040148,2246.477132,3631.847501,3347.034269,4806.180207,1925.188603,1296.957881,1616.968206,1807.059879,1709.358936,632.7554856,18254.99265,8988.288991,10680.98855
09-01-2022,Product A,Region 3,3314.496135,4891.367674,3868.83332,2711.488094,1087.041819,1740.87935,1254.672157,1859.198808,1087.943156,641.8474335,967.4387809,1234.223515,6751.152439,7045.323849,10568.78254
09-01-2022,Product B,Region 1,3455.328345,4080.605933,4959.916394,4735.334336,3809.84626,2896.061486,1130.396641,1574.868422,1861.396221,1685.447469,1988.574899,1278.507964,18500.87965,9519.191618,14417.90114
09-01-2022,Product B,Region 2,1459.195141,1842.519984,2713.364222,2357.587548,2239.677927,4652.823192,871.5023358,1933.989451,1751.913149,1326.062305,1107.867767,863.6171612,17153.12169,7854.95217,7410.215845
09-01-2022,Product B,Region 3,2154.342057,3375.350016,3675.256465,2967.933802,1049.655158,4850.844705,529.8451986,1657.016691,1431.362133,1289.529096,600.7080321,1446.700143,10822.40343,6955.161294,11118.22091
09-01-2022,Product C,Region 1,4720.365969,2548.606859,4714.452197,3608.523643,1289.524507,2601.830258,1442.281687,1076.146512,1807.615278,648.3325038,1250.890162,1186.263357,13838.28598,7411.529501,12071.77393
09-01-2022,Product C,Region 2,3602.651869,1743.721413,4477.512412,1946.406978,3298.861436,3922.910104,635.0588642,1678.937714,575.5058692,874.6749671,1719.903032,1366.006286,6265.443546,6850.086732,12141.97748
09-01-2022,Product C,Region 3,4929.781823,1383.153842,1891.147839,4899.552932,3685.011369,3828.763125,1148.548023,1820.540324,1647.995226,1806.847186,663.4783136,1839.375198,15972.69406,8926.784269,11690.62666
